Filename               Dim  Perc(%)  Ops      Time_Sparse(s) Time_Fortran(s) Time_DGEMM(s)
 MATRIX_12_02p.sparse  12   2               5     0.000059       0.000435        0.000123 
 MATRIX_12_05p.sparse  12   5              13     0.000082       0.000500        0.000158 
 MATRIX_12_10p.sparse  12  10              27     0.000838       0.000462        0.000163 
 MATRIX_12_25p.sparse  12  25              96     0.000350       0.000613        0.000216 
 MATRIX_12_50p.sparse  12  50             239     0.001003       0.000434        0.000120 
 MATRIX_25_01p.sparse  25   1              12     0.000251       0.003535        0.001720 
 MATRIX_25_02p.sparse  25   2              28     0.000330       0.003990        0.001590 
 MATRIX_25_05p.sparse  25   5              53     0.000478       0.005163        0.000889 
 MATRIX_25_10p.sparse  25  10             117     0.001374       0.005167        0.001236 
 MATRIX_25_25p.sparse  25  25             581     0.006701       0.006820        0.001598 
 MATRIX_25_50p.sparse  25  50            1708     0.019884       0.005350        0.001190 
 MATRIX_50_01p.sparse  50   1              39     0.003033       0.063603        0.012366 
 MATRIX_50_02p.sparse  50   2              78     0.003911       0.042892        0.010769 
 MATRIX_50_05p.sparse  50   5             285     0.006364       0.040319        0.010326 
 MATRIX_50_10p.sparse  50  10             819     0.018004       0.039098        0.009181 
 MATRIX_50_25p.sparse  50  25            4312     0.172406       0.080748        0.017457 
 MATRIX_50_50p.sparse  50  50           16111     0.454360       0.078200        0.014868 
 MATRIX_75_01p.sparse  75   1              67     0.080568       0.307561        0.127859 
 MATRIX_75_02p.sparse  75   2             196     0.011500       0.236512        0.053399 
 MATRIX_75_05p.sparse  75   5             875     0.040758       0.158512        0.041796 
 MATRIX_75_10p.sparse  75  10            2879     0.125071       0.251537        0.063249 
 MATRIX_75_25p.sparse  75  25           13752     0.560866       0.233855        0.070926 
 MATRIX_75_50p.sparse  75  50           54431     2.105378       0.225835        0.070394 
MATRIX_125_01p.sparse 125   1             249     0.022155       0.960451        0.242548 
MATRIX_125_02p.sparse 125   2             682     0.054276       1.216069        0.226622 
MATRIX_125_05p.sparse 125   5            3357     0.217211       0.923313        0.232948 
MATRIX_125_10p.sparse 125  10           12227     0.841207       1.002475        0.251117 
MATRIX_125_25p.sparse 125  25           65806     2.701459       0.924974        0.423050 
MATRIX_125_50p.sparse 125  50          255537    13.876218       1.459901        0.575889 
MATRIX_250_01p.sparse 250   1            1416     0.236148       6.103356        3.081246 
MATRIX_250_02p.sparse 250   2            4609     0.571784       7.611464        1.868338 
MATRIX_250_05p.sparse 250   5           22540     2.273760       6.624914        1.290987 
MATRIX_250_10p.sparse 250  10           83275     8.274762      10.641960        1.461544 
MATRIX_250_25p.sparse 250  25          510231    49.448823       7.211954        1.725584 
MATRIX_250_50p.sparse 250  50         2002927   191.320773       7.538082        1.916766 
MATRIX_500_01p.sparse 500   1            8708     2.012822      82.963544       16.620357 
MATRIX_500_02p.sparse 500   2           30096     6.148291      78.596401       16.567160 
MATRIX_500_05p.sparse 500   5          167447    23.266891      54.535071       10.771586 
MATRIX_500_10p.sparse 500  10          641386   133.903291      91.047229       17.785237 
MATRIX_500_25p.sparse 500  25         3945713   631.371614      52.034024       13.922613 
MATRIX_500_50p.sparse 500  50        15645695  1900.957100      53.906616       11.102612 
MATRIX_750_01p.sparse 750   1           27473     6.094149     238.903496       41.748601 
MATRIX_750_02p.sparse 750   2           95067    20.206409     270.617534       50.661860 
MATRIX_750_05p.sparse 750   5          553156   143.568919     296.290027       58.164803 
MATRIX_750_10p.sparse 750  10         2166744   449.113090     213.740077       31.980266 
MATRIX_750_25p.sparse 750  25        13321102  2057.057653     171.290073       30.936815 
MATRIX_750_50p.sparse 750  50        52761012  8748.133698     207.903188       27.896801 
MATRIX_999_01p.sparse 999   1           61346    13.612055     447.892399       73.042620 
MATRIX_999_02p.sparse 999   2          220087    48.232266     448.086570       73.424045 
MATRIX_999_05p.sparse 999   5         1288351   280.368438     427.716457       73.127936 
MATRIX_999_10p.sparse 999  10         5059664  1059.300257     616.741468       93.357783 
MATRIX_999_25p.sparse 999  25        31294517  6439.522074     429.015431       70.395319 
MATRIX_999_50p.sparse 999  50       124475803 25450.641746     702.480292       98.409225
